entity,name,subcategory,type,first build,second build
Module,:core:model,no-source,DurationMedian,4.0,2.0
Module,:core:model,no-source,DurationP90,6.0,3.0
Module,:core:model,no-source,FingerprintingMean,0,0
Module,:core:model,no-source,FingerprintingMedian,0.0,0.0
Module,:core:model,no-source,FingerprintingP90,0.0,0.0
Module,:core:model,lifecycle,Duration,0,0
Module,:core:model,lifecycle,Counter,1,1
Module,:core:model,lifecycle,Fingerprinting,0,0
Module,:core:model,lifecycle,DurationMean,0,0
Module,:core:model,lifecycle,DurationMedian,0.0,0.0
Module,:core:model,lifecycle,DurationP90,0.0,0.0
Module,:core:model,lifecycle,FingerprintingMean,0,0
Module,:core:model,lifecycle,FingerprintingMedian,0.0,0.0
Module,:core:model,lifecycle,FingerprintingP90,0.0,0.0
Module,:core:model,skipped,Duration,0,0
Module,:core:model,skipped,Counter,1,1
Module,:core:model,skipped,Fingerprinting,0,0
Module,:core:model,skipped,DurationMean,0,0
Module,:core:model,skipped,DurationMedian,0.0,0.0
Module,:core:model,skipped,DurationP90,0.0,0.0
Module,:core:model,skipped,FingerprintingMean,0,0
Module,:core:model,skipped,FingerprintingMedian,0.0,0.0
Module,:core:model,skipped,FingerprintingP90,0.0,0.0
Module,:core:model,avoided_from_local_cache,Duration,0,0
Module,:core:model,avoided_from_local_cache,Counter,0,0
Module,:core:model,avoided_from_local_cache,Fingerprinting,0,0
Module,:core:model,avoided_from_local_cache,DurationMean,0,0
Module,:core:model,avoided_from_local_cache,DurationMedian,NaN,NaN
Module,:core:model,avoided_from_local_cache,DurationP90,NaN,NaN
Module,:core:model,avoided_from_local_cache,FingerprintingMean,0,0
Module,:core:model,avoided_from_local_cache,FingerprintingMedian,NaN,NaN
Module,:core:model,avoided_from_local_cache,FingerprintingP90,NaN,NaN
Module,:app,executed_not_cacheable,Duration,7611,7293
Module,:app,executed_not_cacheable,Counter,13,13
Module,:app,executed_not_cacheable,Fingerprinting,520,389
Module,:app,executed_not_cacheable,DurationMean,585,561
Module,:app,executed_not_cacheable,DurationMedian,93.0,66.0
Module,:app,executed_not_cacheable,DurationP90,3830.0,3575.0
Module,:app,executed_not_cacheable,FingerprintingMean,40,29
Module,:app,executed_not_cacheable,FingerprintingMedian,1.0,1.0
Module,:app,executed_not_cacheable,FingerprintingP90,283.0,206.0
Module,:app,executed_cacheable,Duration,43025,38006
Module,:app,executed_cacheable,Counter,18,18
Module,:app,executed_cacheable,Fingerprinting,4335,4623
Module,:app,executed_cacheable,DurationMean,2390,2111
Module,:app,executed_cacheable,DurationMedian,1103.0,974.0
Module,:app,executed_cacheable,DurationP90,9003.0,5769.0
Module,:app,executed_cacheable,FingerprintingMean,240,256
Module,:app,executed_cacheable,FingerprintingMedian,23.0,41.0
Module,:app,executed_cacheable,FingerprintingP90,1289.0,711.0
Module,:app,no-source,Duration,15,19
Module,:app,no-source,Counter,6,6
Module,:app,no-source,Fingerprinting,4,6
Module,:app,no-source,DurationMean,2,3
Module,:app,no-source,DurationMedian,2.0,3.0
Module,:app,no-source,DurationP90,6.0,6.0
Module,:app,no-source,FingerprintingMean,0,1
Module,:app,no-source,FingerprintingMedian,1.0,1.0
Module,:app,no-source,FingerprintingP90,1.0,3.0
